Country,Number of Billionaires,Total Net Worth
Algeria,1,2500000000
Argentina,5,19500000000
Armenia,1,1100000000
Australia,48,2.145E+11
Austria,9,75600000000
Bangladesh,1,1100000000
Barbados,1,1400000000
Belgium,10,36300000000
Belize,1,4700000000
Brazil,69,2.309E+11
Bulgaria,2,4200000000
Canada,67,3.147E+11
Chile,6,42200000000
China,406,1.3356E+12
Colombia,4,29600000000
Croatia,1,1700000000
Cyprus,10,55700000000
Czech Republic,11,66700000000
Denmark,9,50400000000
Egypt,5,18400000000
Estonia,1,2200000000
Eswatini (Swaziland),1,7200000000
Finland,7,14900000000
France,53,6.735E+11
Georgia,2,10100000000
Germany,132,6.439E+11
Greece,10,26800000000
Guernsey,1,2600000000
Hong Kong,67,3.297E+11
Hungary,5,6800000000
Iceland,1,2100000000
India,200,9.537E+11
Indonesia,35,2.009E+11
Ireland,11,52900000000
Israel,36,1.378E+11
Italy,73,3.017E+11
Japan,41,1.814E+11
Kazakhstan,6,25400000000
Lebanon,6,11800000000
Liechtenstein,1,1500000000
Luxembourg,1,1100000000
Malaysia,17,51500000000
Mexico,22,1.997E+11
Monaco,3,11000000000
Morocco,2,3100000000
Nepal,1,1800000000
Netherlands,14,47000000000
New Zealand,4,15900000000
Nigeria,4,26700000000
Norway,12,41200000000
Oman,2,4900000000
Panama,1,1100000000
Philippines,16,49200000000
Poland,8,26500000000
Portugal,1,5700000000
Qatar,2,3500000000
Romania,6,10600000000
Russia,120,5.365E+11
Singapore,39,1.155E+11
Slovakia,2,3400000000
South Africa,6,29400000000
South Korea,36,92100000000
Spain,29,1.771E+11
St. Kitts and Nevis,1,1300000000
Sweden,43,1.62E+11
Switzerland,41,2.241E+11
Taiwan,51,1.452E+11
Tanzania,1,1800000000
Thailand,26,85300000000
Turkey,27,56100000000
Ukraine,5,9400000000
United Arab Emirates,4,27800000000
United Kingdom,55,2.253E+11
United States,813,5.7008E+12
Uruguay,2,2200000000
Venezuela,1,4400000000
Vietnam,6,13900000000
Zimbabwe,1,1800000000
Grand Total,2781,1.42096E+13
